omv-report diagnostics — 2026-06-03T07:42:29Z

Tailscale step outcome : success
OMV_SSH_KEY secret     : present
omv tailnet host       : 100.113.41.119
omv-ha LAN host        : 192.168.1.130

## tailscale status
100.98.247.65    omv-report-ci-7           baltzakis.themis@  linux    -                           
100.108.100.56   github-runnervm3jyl0-42   baltzakis.themis@  linux    offline, last seen 1d ago   
100.83.43.88     github-runnervm3jyl0-43   baltzakis.themis@  linux    offline, last seen 1d ago   
100.65.49.13     github-runnervm3jyl0-44   baltzakis.themis@  linux    offline, last seen 1d ago   
100.79.28.72     github-runnervm3jyl0-45   baltzakis.themis@  linux    offline, last seen 1d ago   
100.85.5.53      github-runnervm3jyl0-46   baltzakis.themis@  linux    offline, last seen 1d ago   
100.79.26.53     github-runnervm3jyl0-47   baltzakis.themis@  linux    offline, last seen 1d ago   
100.81.184.9     github-runnervm3jyl0-48   baltzakis.themis@  linux    offline, last seen 1d ago   
100.78.115.42    github-runnervm3jyl0-49   baltzakis.themis@  linux    offline, last seen 1d ago   
100.111.102.59   github-runnervm3jyl0-5    baltzakis.themis@  linux    offline, last seen 4d ago   
100.96.58.61     github-runnervm3jyl0-50   baltzakis.themis@  linux    offline, last seen 1d ago   
100.89.156.55    github-runnervm3jyl0-51   baltzakis.themis@  linux    offline, last seen 1d ago   
100.118.119.58   github-runnervm3jyl0-52   baltzakis.themis@  linux    offline, last seen 1d ago   
100.95.228.114   github-runnervm3jyl0-53   baltzakis.themis@  linux    offline, last seen 1d ago   
100.107.130.70   github-runnervm3jyl0-54   baltzakis.themis@  linux    offline, last seen 1d ago   
100.115.199.35   github-runnervm3jyl0-55   baltzakis.themis@  linux    offline, last seen 1d ago   
100.118.94.127   github-runnervm3jyl0-56   baltzakis.themis@  linux    offline, last seen 1d ago   
100.90.26.2      github-runnervm3jyl0-57   baltzakis.themis@  linux    offline, last seen 1d ago   
100.102.236.70   github-runnervm3jyl0-58   baltzakis.themis@  linux    offline, last seen 1d ago   
100.85.163.30    github-runnervm3jyl0-59   baltzakis.themis@  linux    offline, last seen 1d ago   
100.95.58.116    github-runnervm3jyl0-6    baltzakis.themis@  linux    offline, last seen 3d ago   
100.72.189.9     github-runnervm3jyl0-60   baltzakis.themis@  linux    offline, last seen 1d ago   
100.122.41.67    github-runnervm3jyl0-61   baltzakis.themis@  linux    offline, last seen 1d ago   
100.73.33.67     github-runnervm3jyl0-62   baltzakis.themis@  linux    offline, last seen 1d ago   
100.115.10.22    github-runnervm3jyl0-63   baltzakis.themis@  linux    offline, last seen 1d ago   
100.95.6.14      github-runnervm3jyl0-64   baltzakis.themis@  linux    offline, last seen 1d ago   
100.118.117.14   github-runnervm3jyl0-65   baltzakis.themis@  linux    offline, last seen 1d ago   
100.119.33.27    github-runnervm3jyl0-66   baltzakis.themis@  linux    offline, last seen 1d ago   
100.109.11.100   github-runnervm3jyl0-67   baltzakis.themis@  linux    offline, last seen 1d ago   
100.95.2.104     github-runnervm3jyl0-68   baltzakis.themis@  linux    offline, last seen 1d ago   
100.97.177.1     github-runnervm3jyl0-69   baltzakis.themis@  linux    offline, last seen 1d ago   
100.65.30.104    github-runnervm3jyl0-7    baltzakis.themis@  linux    offline, last seen 3d ago   
100.95.165.25    github-runnervm3jyl0-70   baltzakis.themis@  linux    offline, last seen 1d ago   
100.84.78.24     github-runnervm3jyl0-71   baltzakis.themis@  linux    offline, last seen 1d ago   
100.99.11.110    github-runnervm3jyl0-72   baltzakis.themis@  linux    offline, last seen 1d ago   
100.116.146.89   github-runnervm3jyl0-73   baltzakis.themis@  linux    offline, last seen 1d ago   
100.125.213.43   github-runnervm3jyl0-74   baltzakis.themis@  linux    offline, last seen 1d ago   
100.107.84.95    github-runnervm3jyl0-75   baltzakis.themis@  linux    offline, last seen 1d ago   
100.64.83.73     github-runnervm3jyl0-76   baltzakis.themis@  linux    offline, last seen 1d ago   
100.120.91.42    github-runnervm3jyl0-77   baltzakis.themis@  linux    offline, last seen 1d ago   
100.118.161.48   github-runnervm3jyl0-78   baltzakis.themis@  linux    offline, last seen 1d ago   
100.84.199.2     github-runnervm3jyl0-79   baltzakis.themis@  linux    offline, last seen 23h ago  
100.83.221.8     github-runnervm3jyl0-8    baltzakis.themis@  linux    offline, last seen 3d ago   
100.124.149.100  github-runnervm3jyl0-80   baltzakis.themis@  linux    offline, last seen 23h ago  
100.118.83.81    github-runnervm3jyl0-81   baltzakis.themis@  linux    offline, last seen 1d ago   
100.70.101.30    github-runnervm3jyl0-82   baltzakis.themis@  linux    offline, last seen 1d ago   
100.92.177.100   github-runnervm3jyl0-83   baltzakis.themis@  linux    offline, last seen 1d ago   
100.115.143.59   github-runnervm3jyl0-84   baltzakis.themis@  linux    offline, last seen 1d ago   
100.119.105.54   github-runnervm3jyl0-85   baltzakis.themis@  linux    offline, last seen 1d ago   
100.65.159.93    github-runnervm3jyl0-86   baltzakis.themis@  linux    offline, last seen 1d ago   
100.112.216.57   github-runnervm3jyl0-87   baltzakis.themis@  linux    offline, last seen 1d ago   
100.121.191.116  github-runnervm3jyl0-88   baltzakis.themis@  linux    offline, last seen 1d ago   
100.105.209.100  github-runnervm3jyl0-89   baltzakis.themis@  linux    offline, last seen 1d ago   
100.120.100.79   github-runnervm3jyl0-9    baltzakis.themis@  linux    offline, last seen 3d ago   
100.107.15.63    github-runnervm3jyl0-90   baltzakis.themis@  linux    offline, last seen 1d ago   
100.110.51.48    github-runnervm3jyl0-91   baltzakis.themis@  linux    offline, last seen 1d ago   
100.99.175.111   github-runnervm3jyl0-92   baltzakis.themis@  linux    offline, last seen 1d ago   
100.85.32.124    github-runnervm3jyl0-93   baltzakis.themis@  linux    offline, last seen 1d ago   
100.101.240.60   github-runnervm3jyl0-94   baltzakis.themis@  linux    offline, last seen 1d ago   
100.69.172.59    github-runnervm3jyl0-95   baltzakis.themis@  linux    offline, last seen 1d ago   
100.111.221.84   github-runnervm3jyl0-96   baltzakis.themis@  linux    offline, last seen 1d ago   
100.105.97.113   github-runnervm3jyl0-97   baltzakis.themis@  linux    offline, last seen 1d ago   
100.125.216.29   github-runnervm3jyl0-98   baltzakis.themis@  linux    offline, last seen 1d ago   
100.74.172.24    github-runnervm3jyl0-99   baltzakis.themis@  linux    offline, last seen 1d ago   
100.113.69.27    github-runnervm3jyl0      baltzakis.themis@  linux    offline, last seen 5d ago   
100.101.207.35   office                    baltzakis.themis@  windows  -                           
100.107.84.20    omv-apply-manifests-ci    baltzakis.themis@  linux    offline, last seen 14m ago  
100.120.145.6    omv-cloudflared-ci        baltzakis.themis@  linux    offline, last seen 4h ago   
100.99.82.103    omv-recovery-ci-1         baltzakis.themis@  linux    offline, last seen 12m ago  
100.107.10.107   omv-recovery-ci           baltzakis.themis@  linux    offline, last seen 4h ago   
100.114.246.72   omv-report-ci-1           baltzakis.themis@  linux    offline, last seen 5d ago   
100.87.147.14    omv-report-ci-2           baltzakis.themis@  linux    offline, last seen 4d ago   
100.85.28.17     omv-report-ci-3           baltzakis.themis@  linux    offline, last seen 3d ago   
100.89.151.67    omv-report-ci-4           baltzakis.themis@  linux    offline, last seen 2d ago   
100.80.7.56      omv-report-ci-5           baltzakis.themis@  linux    offline, last seen 1d ago   
100.98.121.71    omv-report-ci-6           baltzakis.themis@  linux    offline, last seen 42m ago  
100.74.21.82     omv-report-ci             baltzakis.themis@  linux    offline, last seen 6d ago   

## OMV_SSH_KEY structure (no key material printed)
line count : 8
header     : BEGIN private-key header OK
parse test : valid — ssh-keygen loaded the key

## omv SSH connectivity test (tbaltzakis@100.113.41.119)
Warning: Permanently added '100.113.41.119' (ED25519) to the list of known hosts.
SSH-OK on omv
(omv ssh exit code: 0)

## omv-ha collection (omv -> tbaltzakis@192.168.1.130)
HA-SSH-OK
(omv-ha ssh exit code: 0)
